City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,la ronge,55.1001,-105.2842,-19.86,65,20,2.57,CA,1677988590
309,kabo,7.6994,18.629,23.64,35,97,1.71,CF,1677988591
310,salalah,17.0151,54.0924,25.56,38,0,0.8,OM,1677988379
311,vysokogornyy,50.1167,139.15,0.84,82,76,7.89,RU,1677988594
312,umm lajj,25.0213,37.2685,25.07,48,99,0.81,SA,1677988595
313,meulaboh,4.1363,96.1285,28.61,65,8,0.65,ID,1677988596
314,rio grande,-32.035,-52.0986,22.52,84,90,6.62,BR,1677988358
315,kaseda,31.4167,130.3167,13.97,60,0,2.46,JP,1677988599
316,north platte,41.1239,-100.7654,3.4,62,0,4.02,US,1677988600
317,basco,20.4487,121.9702,21.76,64,50,10.52,PH,1677988602
318,satipo,-11.2522,-74.6386,21.09,99,100,1.07,PE,1677988604
319,bonavista,48.6499,-53.1147,-7.84,91,100,7.67,CA,1677988605
320,yar-sale,66.8333,70.8333,-31.61,100,58,2.04,RU,1677988607
321,creston,41.0586,-94.3614,1.85,86,0,3.09,US,1677988608
322,tres arroyos,-38.3739,-60.2798,14.07,55,5,4.1,AR,1677988609
323,coquimbo,-29.9533,-71.3436,16.85,94,100,2.06,CL,1677988396
324,ucluelet,48.9329,-125.5528,5.05,83,99,0.45,CA,1677988612
325,champerico,14.3,-91.9167,26.58,71,84,3.24,GT,1677988613
326,yamada,39.4667,141.95,5.81,51,1,4.19,JP,1677988615
327,omsukchan,62.5333,155.8,-26.61,87,36,2.71,RU,1677988616
328,acarau,-2.8856,-40.12,25.65,87,92,3.9,BR,1677988426
329,praia,14.9215,-23.5087,21.3,60,0,5.66,CV,1677988619
330,grand gaube,-20.0064,57.6608,24.65,90,100,6.3,MU,1677988620
331,talnakh,69.4865,88.3972,-27.11,97,100,2.8,RU,1677988621
332,ornskoldsvik,63.2909,18.7153,-6.47,93,100,3.09,SE,1677988623
333,deputatskiy,69.3,139.9,-27.91,97,100,1.52,RU,1677988624
334,zwedru,6.0667,-8.1281,23.27,95,59,0.92,LR,1677988629
335,talaya,61.3833,152.75,-22.34,89,100,0.85,RU,1677988630
336,rivers,50.0308,-100.2403,-15.47,97,27,2.67,CA,1677988524
337,san roque,36.2107,-5.3842,13.46,67,40,6.17,ES,1677988633
338,salinas,36.6777,-121.6555,9.34,81,0,0.89,US,1677988634
339,kamenka,51.3223,42.7678,-2.09,92,66,6.19,RU,1677988635
340,monrovia,6.3005,-10.7969,23.87,87,11,2.17,LR,1677988637
341,nata,8.3333,-80.5167,24.64,83,20,3.22,PA,1677988638
342,biak,-0.9131,122.8766,27.84,69,100,1.4,ID,1677988640
343,nyakabindi,-2.6333,33.9833,16.62,82,96,2.88,TZ,1677988641
344,nokaneng,-19.6667,22.2667,21.25,69,11,0.95,BW,1677988642
345,san borja,-14.8167,-66.85,23.39,97,100,0.66,BO,1677988644
346,esperance,-33.8667,121.9,19.81,56,67,6.99,AU,1677988645
347,lixourion,38.2019,20.4314,11.55,82,69,5.51,GR,1677988647
348,omis,43.4447,16.6886,6.77,70,44,2.68,HR,1677988651
349,ust-nera,64.5667,143.2,-21.99,92,89,1.79,RU,1677988652
350,paraiso,9.8383,-83.8656,19.48,98,97,1.65,CR,1677988654
